seqName;initialSeqLength;nbKeep;nbTrim;nbInformativeTrim;percentHomologExcludingExtremities;percentHomologIncludingExtremities;keptSequences
ZAR1L_Monodon_monoceros;1050;1050;0;0;1.0;1.0;true
ZAR1L_Tursiops_truncatus;1050;1050;0;0;1.0;1.0;true
ZAR1L_Eschrichtius_robustus;1053;1053;0;0;1.0;1.0;true
ZAR1L_Eubalaena_glacialis;1056;1056;0;0;1.0;1.0;true
ZAR1L_Balaenoptera_acutorostrata;1053;1053;0;0;1.0;1.0;true
ZAR1L_Delphinus_delphis;1050;1050;0;0;1.0;1.0;true
ZAR1L_Globicephala_melas;972;972;0;0;1.0;1.0;true
ZAR1L_Pseudorca_crassidens;1050;1050;0;0;1.0;1.0;true
ZAR1L_Orcinus_orca;1050;1050;0;0;1.0;1.0;true
ZAR1L_Phocoena_sinus;1050;1050;0;0;1.0;1.0;true
ZAR1L_Balaenoptera_ricei;1056;1056;0;0;1.0;1.0;true
ZAR1L_Lipotes_vexillifer;1050;1050;0;0;1.0;1.0;true
ZAR1L_Physeter_macrocephalus;1053;1053;0;0;1.0;1.0;true
ZAR1L_Neophocaena_asiaeorientalis;1050;1050;0;0;1.0;1.0;true
ZAR1L_Phocoena_phocoena;1050;1050;0;0;1.0;1.0;true
ZAR1L_Kogia_breviceps;1041;1041;0;0;1.0;1.0;true
ZAR1L_Lagenorhynchus_albirostris;972;972;0;0;1.0;1.0;true
ZAR1L_Delphinapterus_leucas;1050;1050;0;0;1.0;1.0;true
ZAR1L_Mesoplodon_densirostris;1050;1050;0;0;1.0;1.0;true
ZAR1L_Lagenorhynchus_obliquidens;1050;1050;0;0;1.0;1.0;true
ZAR1L_Balaenoptera_musculus;1053;1053;0;0;1.0;1.0;true
